id,TCGA-DD-AACL_StageI,TCGA-WJ-A86L_StageI,TCGA-EP-A2KC_StageI,TCGA-K7-A5RF_StageI,TCGA-G3-AAUZ_StageI,TCGA-DD-AAD1_StageI,TCGA-BD-A3EP_StageI,TCGA-DD-AAE6_StageI,TCGA-DD-AADJ_StageI,TCGA-DD-AAVZ_StageI,TCGA-2Y-A9GX_StageI,TCGA-DD-A1EG_StageI,TCGA-DD-AAE2_StageI,TCGA-XR-A8TC_StageI,TCGA-FV-A2QR_StageI,TCGA-DD-AAD2_StageI,TCGA-FV-A2QQ_StageI,TCGA-K7-A6G5_StageI,TCGA-DD-A4NN_StageI,TCGA-2Y-A9HB_StageI,TCGA-ED-A7PX_StageII,TCGA-DD-AACH_StageII,TCGA-ZS-A9CD_StageII,TCGA-5R-AA1C_StageII,TCGA-FV-A3I0_StageII,TCGA-ED-A5KG_StageII,TCGA-CC-5258_StageII,TCGA-DD-AAVU_StageII,TCGA-4R-AA8I_StageII,TCGA-KR-A7K7_StageII,TCGA-K7-AAU7_StageII,TCGA-5C-A9VG_StageII,TCGA-UB-A7MA_StageII,TCGA-CC-A9FS_StageII,TCGA-DD-A1EH_StageIII,TCGA-DD-A39W_StageIII,TCGA-CC-A7IE_StageIII,TCGA-BC-4073_StageIII,TCGA-CC-A7IH_StageIII,TCGA-CC-A3MA_StageIII,TCGA-BC-A216_StageIII,TCGA-CC-A7II_StageIII,TCGA-ED-A82E_StageIII,TCGA-LG-A9QD_StageIII,TCGA-DD-A4NE_StageIII,TCGA-G3-A25T_StageIII,TCGA-ED-A7XO_StageIII,TCGA-BW-A5NP_StageIV,TCGA-DD-A119_StageIV,TCGA-DD-A1EK_StageIV
LINC01001,0.389312,1.04737,0.491665,0.549614,0.302854,0.803987,0.843392,0.590203,0.245435,0.347782,0.693958,0.440182,0.537511,0.742137,0.14017,0.326433,0.337279,0.18062,0.261445,0.891176,0.368568,0.470334,0.228013,0.514144,0.636973,0.716821,0.481051,0.399621,0.620653,0.290055,1.24156,0.654249,0.770886,0.450064,0.605151,0.430005,0.954474,0.562733,0.576442,0.460328,0.67318,0.40952,0.525674,0.358322,0.503,0.315289,0.419501,0.275975,0.207336,0.379001
RNU1-109P,0.470334,1.24156,0.450064,0.440182,0.430005,0.419501,0.40952,0.399621,0.389312,0.379001,0.368568,0.358322,0.347782,0.460328,0.326433,0.315289,0.302854,0.290055,0.275975,0.261445,0.245435,0.228013,0.207336,0.18062,0.14017,0.337279,1.04737,0.891176,0.843392,0.803987,0.770886,0.742137,0.716821,0.693958,0.67318,0.654249,0.636973,0.620653,0.605151,0.590203,0.576442,0.562733,0.549614,0.537511,0.525674,0.514144,0.503,0.491665,0.481051,0.954474
LINC00596,0.337279,0.460328,0.450064,0.440182,0.430005,0.419501,0.40952,0.399621,0.389312,0.379001,0.368568,0.358322,0.347782,0.470334,0.326433,0.315289,0.302854,0.290055,0.275975,0.261445,0.245435,0.228013,0.207336,0.18062,0.14017,0.605151,0.843392,0.803987,0.770886,0.742137,0.716821,0.693958,0.67318,1.24156,0.654249,0.636973,0.620653,0.954474,0.891176,0.590203,0.576442,0.562733,0.549614,0.537511,0.525674,1.04737,0.514144,0.503,0.491665,0.481051
SLC25A3P3,0.460328,0.891176,0.440182,0.430005,0.419501,0.954474,0.40952,0.399621,0.389312,0.379001,0.368568,0.358322,0.347782,0.337279,0.843392,0.450064,0.803987,0.315289,0.302854,0.290055,0.275975,0.261445,0.245435,0.228013,0.207336,0.18062,0.14017,0.326433,0.576442,0.620653,1.04737,0.716821,0.693958,0.67318,0.654249,0.636973,0.605151,0.742137,0.562733,0.549614,1.24156,0.770886,0.537511,0.525674,0.514144,0.503,0.491665,0.481051,0.470334,0.590203
PRAMEF33,0.389312,0.716821,0.562733,0.954474,0.693958,0.491665,0.605151,0.440182,0.514144,0.481051,0.843392,0.67318,0.770886,0.419501,0.470334,0.654249,0.636973,0.576442,0.337279,0.803987,0.549614,0.399621,0.891176,0.14017,0.18062,0.207336,0.228013,0.450064,1.24156,0.245435,0.503,0.261445,0.275975,0.290055,0.302854,0.315289,0.326433,1.04737,0.590203,0.347782,0.358322,0.368568,0.40952,0.620653,0.525674,0.460328,0.742137,0.379001,0.430005,0.537511
RNU6-1053P,0.379001,0.514144,0.315289,0.389312,0.275975,0.693958,0.843392,0.261445,0.207336,0.891176,0.503,0.590203,0.430005,1.24156,0.491665,0.742137,0.302854,0.14017,0.605151,0.954474,0.525674,0.419501,0.358322,0.347782,0.326433,0.562733,0.245435,0.228013,0.537511,0.481051,0.716821,0.770886,0.290055,0.67318,0.399621,0.18062,1.04737,0.40952,0.450064,0.654249,0.620653,0.636973,0.440182,0.803987,0.470334,0.337279,0.576442,0.460328,0.368568,0.549614
SEC24AP1,0.576442,0.891176,0.843392,0.337279,0.368568,0.620653,0.742137,0.389312,0.481051,0.537511,1.04737,0.315289,0.562733,0.693958,0.460328,0.525674,0.450064,0.290055,0.261445,0.716821,0.14017,0.67318,0.470334,0.770886,0.18062,0.207336,0.228013,0.245435,0.605151,0.275975,0.803987,0.491665,0.503,1.24156,0.590203,0.302854,0.399621,0.654249,0.440182,0.326433,0.636973,0.40952,0.419501,0.430005,0.954474,0.379001,0.549614,0.358322,0.347782,0.514144
RNU6-1206P,0.460328,0.440182,0.770886,0.430005,0.419501,0.40952,0.399621,0.389312,0.379001,0.368568,0.358322,0.347782,0.337279,0.450064,0.315289,0.302854,1.04737,0.290055,0.275975,0.261445,0.245435,0.228013,0.207336,0.18062,0.14017,0.891176,0.742137,0.326433,1.24156,0.693958,0.67318,0.654249,0.636973,0.620653,0.605151,0.590203,0.576442,0.562733,0.716821,0.843392,0.803987,0.537511,0.525674,0.514144,0.503,0.954474,0.491665,0.481051,0.470334,0.549614
MOCOS,0.290055,0.491665,0.537511,0.503,0.399621,0.450064,0.419501,0.326433,0.315289,0.440182,0.693958,0.636973,0.347782,0.470334,0.954474,0.576442,0.562733,0.549614,0.460328,0.891176,1.04737,0.620653,0.770886,1.24156,0.245435,0.389312,0.358322,0.261445,0.843392,0.302854,0.525674,0.803987,0.430005,0.654249,0.742137,0.368568,0.228013,0.67318,0.590203,0.40952,0.379001,0.14017,0.18062,0.514144,0.337279,0.207336,0.605151,0.275975,0.716821,0.481051
MRPS36P1,0.389312,0.430005,0.503,0.450064,0.636973,0.326433,0.716821,0.290055,0.770886,0.891176,0.245435,0.18062,0.525674,0.14017,0.605151,0.742137,0.207336,0.228013,0.549614,1.24156,0.261445,0.275975,0.67318,0.302854,0.315289,0.693958,0.337279,0.347782,0.358322,0.590203,0.368568,0.620653,0.379001,0.954474,0.399621,0.419501,0.440182,0.803987,0.537511,0.576442,0.562733,0.491665,0.843392,0.514144,0.481051,0.470334,0.460328,1.04737,0.40952,0.654249
