ID	TCGA_BC_A10Q_LIHC_NT	TCGA_BC_A10T_LIHC_NT	TCGA_BC_A10W_LIHC_NT	TCGA_2V_A95S_LIHC_TP	TCGA_2Y_A9GS_LIHC_TP	TCGA_2Y_A9GU_LIHC_TP	TCGA_A7_A0CE_BRCA_NT	TCGA_A7_A0CH_BRCA_NT	TCGA_A7_A0D9_BRCA_NT	TCGA_3C_AAAU_BRCA_TP	TCGA_3C_AALJ_BRCA_TP	TCGA_3C_AALK_BRCA_TP
ENSG00000121410	124518.23	68949.58	100619.73	34197.7	45940.47	11176.18	154.473	109.3484	15.7841	197.0897	423.2366	191.0178
ENSG00000148584	2969	1964	2824	895	3191	1501	0.6349	0	0	0	0.9066	0
ENSG00000078328	0	0	0	0	5	0	0.6349	3.7612	0.5092	0	0	0
ENSG00000134864	427.02	228.29	320.22	575.3	200.11	3492.56	119.581	111.9699	105.5041	102.9634	161.2602	62.5072
ENSG00000166535	3	0	1	0	0	2	16.8254	19.5581	22.9124	1.3786	0	1.6549
ENSG00000175899	118972.53	211710.65	134129.62	439428.37	63240.79	292445.68	40198.2063	32634.9299	44700.9521	5798.3746	8840.3989	10960.2193
ENSG00000128274	68	156	108	123	330	86	627.3016	924.1185	542.7699	68.2424	573.8894	506.4129
ENSG00000118017	1	6	1	833	4	0	1.9048	0.3761	19.3483	8.6165	0	0
ENSG00000197085	0	0	0	1	1	0	0	0.3761	0	0.3447	0	0
ENSG00000094914	670	499	738	1583	1831	865	780	815.7969	595.723	649.3372	723.4814	776.9963
ENSG00000250420	0	0	0	0	0	0	1.2698	0	0	1.3786	2.7199	0
ENSG00000081760	166	122	254	855	873	846	1132.0635	2177.7151	710.7943	1087.3986	1533.0916	858.0885
ENSG00000197953	0	0	0	0	1	0	1.2698	5.6417	7.6375	0	1.8132	0
ENSG00000188984	0	0	0	2093	21030	8130	5.0794	34.9788	6.11	0	0.9066	2.8962
ENSG00000204518	1	0	0	38	316	43	0	1.5045	0	5.5145	53.4905	57.0956
ENSG00000114771	12209	9501	14665	1639	2146	472	19.6825	101.9276	619.1446	1300.3977	1360.8341	1683.4919
ENSG00000109576	1769	1000	1174	1058	1098	1879	58.7302	250.8698	78.9206	517.3329	568.4497	727.7617
ENSG00000103591	546	520	705	4921	6386	2084	1448.8889	1077.9502	673.6253	2053.1326	2291.9311	2762.5155
ENSG00000115977	448	352	563	0	2	0	966.9841	828.5849	1032.0774	0.3447	1.8132	0.4137
ENSG00000127837	2776	2141	3263	522	1381.89	590.8	2770.7937	2588.0583	1977.5967	689.8967	439.7099	431.9363
ENSG00000129673	0	0	0	1301	1795	553	0.3175	0.3761	0	466.668	390.7525	493.5871
ENSG00000124608	313	178.89	337.99	10779	17236	7094	485.0413	349.5477	225.555	4409.565	2556.6636	2122.8796
ENSG00000266967	644	539	757	1879	1981	896	692.6984	574.33	478.6151	808.9143	779.6917	665.2875
ENSG00000090861	4067	3723	3751	221	323	220	3063.1746	3213.9163	3248.4725	277.4504	190.3898	196.5246
ENSG00000149313	998.91	1060	1132	73	912	1665	655.5016	662.3413	599.2872	45.8396	76.1559	183.2851
ENSG00000157426	149	161	216	2366	4062	988	314.9206	256.1354	315.1731	1518.9114	2097.9148	1915.1841
ENSG00000008311	3510	1631	3618	94	34	16	592.6984	347.5317	664.4603	619.5932	145.0589	119.9835
ENSG00000275700	823	774	1212	2355	22765	11593	1138.7302	1040.7146	1019.8574	620.7305	375.34	1721.5556
ENSG00000181409	29	27	64	237	44	65.02	91.746	43.6483	30.0407	16.2334	27.1985	23.583
ENSG00000183044	26402	20364	16433	99.73	44.99	130.43	1226.3492	619.464	224.5418	79.1509	156.0199	137.3231
ENSG00000154263	168	20	88	0	2	0	164.127	244.0997	244.3992	321.222	0	1430.6992
ENSG00000251595	52.51	48.48	34.03	0	37	4	151.2349	93.1453	89.2159	0	0.9066	2.4824
ENSG00000144452	5	0	7	2	4	8	194.9206	280.583	4.5825	17.9223	12.6927	9.1022
ENSG00000179869	5	5	7	1765	2532.92	2094.93	8.5714	3.385	9.6741	288.4622	689.8821	749.2635
ENSG00000238098	0	4	0	2575	2283	294	11.1111	6.7701	4.5825	4507.4481	3208.5222	1375.2586
ENSG00000165029	4128.99	3677	2829.95	142	150	541	719.9524	1714.2793	3383.7984	5470.7695	1514.0526	968.5561
ENSG00000107331	1489	583	1747	167	101	16	1164.7619	1581.5703	1626.2729	3.7912	1.8132	73.2313
ENSG00000167972	124	58	88	1870	2188	1520.98	1494.9206	1934.7438	933.8086	795.0934	559.3835	412.0811
ENSG00000198691	23	11	26	808	5642	1206	153.6508	39.8684	7.6375	23.0921	81.5956	78.1961
ENSG00000154265	940	878	679	741	421	469	626.6667	602.5388	943.9919	596.9491	383.4995	465.8668
ENSG00000154262	4884	2750	2951	6	1633	1788	335.5556	524.3065	1182.7902	58.592	52.5839	213.4878
ENSG00000064687	123	31	297	350	178	778	387.9365	479.5487	205.7026	37.5678	54.3971	70.3351
ENSG00000141338	1480	1074	1584	1100	1825	1581	773.3333	1976.8688	5814.664	532.8425	278.3318	411.6674
ENSG00000154258	316	93	182	1	4728	188	396.1905	1042.5952	2514.7658	0	0.9066	1.6549
ENSG00000135776	889	634	543	3158	5473	30	256.1905	325.717	374.7454	27.9174	21.7588	107.1576
ENSG00000073734	1858	694	819	246	8058	1732	1.5873	2.2567	18.8391	14.4757	15.4125	11.5846
ENSG00000085563	1407	1450	2711	189	4	0	468.254	152.7033	206.2118	0.3447	4.5331	1.2412
ENSG00000005471	4589	2077	7374	2602.36	3848.68	1022.61	21.9048	22.9431	64.1548	839.0443	640.9429	623.2768
ENSG00000004846	0	0	0	520	1537	719	96.8254	136.5303	56.0081	607.6335	143.2457	354.5718
ENSG00000115657	1290.6	995.54	1435.34	1760	2706	1880	442.2286	839.3907	715.3106	1310.7375	659.1115	952.8341
ENSG00000131269	594	424	608	133.03	336.05	219.77	519.0476	521.2976	606.9246	285.9496	269.6464	151.4233
ENSG00000197150	1034	542	995	621	711	748	571.1111	608.5567	391.5479	830.9724	564.8232	700.4551
ENSG00000150967	27	6	13	32	796	88	103.9873	109.149	48.2841	92.0239	0.9066	2210.1779
ENSG00000124574	105	81	130	0	6	1	365.3968	310.6723	216.9043	0	0	93.9181
ENSG00000121270	246	88	76	2	1	4	439.0476	2872.4024	3.5642	0	109.7008	61.2329
ENSG00000140798	0	0	1	339	886	160	3.4921	27.8326	0	1573.3675	1601.0879	1262.3086
ENSG00000243064	0	0	0	4653	9537	7815	0	2.2567	0	5.1699	5.4397	17.3769
ENSG00000103222	105	187	298	4784	19774	6459	923.4921	1428.8669	1453.666	110.2908	144.1523	1427.3893
ENSG00000023839	5679	3062	4991	95	620	308	9.2063	70.3338	46.334	28.6067	123.3001	439.3877
ENSG00000108846	6309	2726	3943	400	1436	301	644.7619	1081.7113	199.5927	740.3272	3300.9973	1319.818
ENSG00000125257	52	46	119	294	841	1130	138.0952	200.094	113.5438	6.5485	1.8132	0.8275
ENSG00000114770	158	97	237	327	344	1076	739.6825	668.7353	592.1589	40.6697	3.6265	3.3099
ENSG00000256340	946	285	751	2094	7376	9817	6.3492	18.8058	12.7291	158.1984	18.1324	11.1709
ENSG00000255277	248	130	329	0	7	8	22.8571	61.307	70.7739	173.0187	96.1015	62.8879
ENSG00000091262	5458	3324	4408	76	219	56	141.5873	540.4795	704.6843	79.2715	150.4986	182.8713
ENSG00000006071	1	1	1	3020	1362	1033	307.3016	68.4532	5.0916	929.5448	940.1632	353.7443
ENSG00000069431	2423	2496	1715	36	4	8	268.254	510.3902	3597.7597	1.7233	21.7588	8.6885
ENSG00000101986	414	228	497	3924	6852	2460	243.8095	653.6906	565.6823	2396.4128	775.1587	1448.0761
ENSG00000173208	3	5	1	951	1847	1255	26.3492	227.9267	1258.1466	322.256	308.2502	589.1601
ENSG00000117528	5890	6271	5384	2427	2171	1014	3005.7143	1226.8923	1147.1487	1314.1841	1295.5576	1297.8899
ENSG00000119688	1244	806	868	2754	5434	2167	790.1587	759.3794	661.4053	2095.181	1418.8577	2006.6198
ENSG00000164163	1690	1526	1814	1457	2588	570	1261.2698	1050.4937	1162.4236	1557.8579	1404.3518	1347.952
ENSG00000204574	1854	1658	2312	1679	3081	1978	1614.2857	1677.8561	1554.9898	1180.4565	1229.3744	1158.4609
ENSG00000033050	504	714	878	1245	206	2378	1416.1905	1202.0686	1101.3238	1020.1901	585.6754	515.1014
ENSG00000161204	1673	1093	1770	202	2802	133	1116.8254	1102.0216	942.9735	88.2327	24.4787	59.578
ENSG00000160179	133	180	299	2	0	5	507.619	725.1528	281.5682	6.2039	1.8132	2.0687
ENSG00000118777	1079	1177	981	1120	3098	1840	229.2063	179.4076	146.1303	0.3447	2.7199	3.7236
ENSG00000172350	3	5	5	660	3354	3104	5.0794	3.0089	2.5458	0.6893	0	0
ENSG00000138075	1626	970	2538	741	1355	1696	1.2698	1.8806	1.0183	1052.588	448.7761	400.9102
ENSG00000143921	2201	1451	2544	470	1138	1018	0	2.2567	1.0183	541.8037	2033.5449	2388.9119
ENSG00000144827	1131	937	1200	0	13	6	646.9841	665.3503	674.1344	0.6893	1.8132	0.8275
ENSG00000106077	242	269	373	3628	3251	1457	685.0794	601.0343	150.7128	2687.3048	1476.8812	1176.2516
ENSG00000131969	7	2	2	655	505	447	2.8571	7.5223	22.9124	298.8192	251.1333	336.3674
ENSG00000100997	1100	652	1732	343	1159	407.37	1099.3651	1466.8547	1044.2974	252.2903	301.9039	338.0223
ENSG00000139826	585	683	818	3283	6838	2131	498.0952	428.7729	382.3829	1666.7701	1679.9637	1738.9326
ENSG00000248487	453	328	522.5	493	686	808	320.3175	452.0921	391.9196	390.1538	200.3626	191.9735
ENSG00000114779	6454	4791	5597	1	145	8	2236.1905	3472.3084	3557.5356	28.9513	1.8132	14.8945
ENSG00000168792	952	926	1112	7378	34539	7711	360.3175	868.8293	1525.4582	13890.7845	2171.3509	7661.1502
ENSG00000143994	78	48	87	4154	1727	2229	26.3492	35.7311	41.7515	270.2125	174.0707	539.0981
ENSG00000140526	12751	9418	15164	1312	2726	1085	2079.3651	2360.8839	2742.8717	869.5742	1907.5249	943.3182
ENSG00000158201	735	859	1169	712	1416	601	341.5873	460.3667	272.9124	623.8325	625.5666	581.2991
ENSG00000100439	509	509	663	319	1549	328	870.4762	1226.1401	2185.8452	146.48	87.0354	69.5077
ENSG00000011198	991	769	912	683	1543	948	916.5079	893.653	1917.0061	495.2747	339.0752	337.1949
ENSG00000163686	1808	1491	2198	1921.35	3145.45	899.2	172.0635	430.6535	552.9532	803.6858	1311.7588	1064.9566
ENSG00000127220	487	309	536	1010	1048	256	332.0635	278.7024	134.9287	1250.7669	922.0308	1453.8684
ENSG00000136754	864.8	773.46	1064.79	66	122	13	1177.0317	1125.6869	1145.112	140.9655	378.9665	463.3844
ENSG00000138443	350	487	519	654	378	148	1523.1746	940.6676	648.167	154.0625	227.5612	228.3823
ENSG00000154175	46	211	78	1505	1885	812	1075.5556	1877.1979	5065.1731	2065.1957	3137.806	2684.7331
ENSG00000108798	112	204	332	894	1026	515	350.1587	269.6756	150.7128	731.366	1085.2221	997.1038
ENSG00000097007	710	424	784	2387	2643	1026	2372.0635	2778.7494	2913.442	2876.5225	733.4542	964.005
ENSG00000143322	468	385	470	118	273	88	942.2222	727.4095	1094.1955	112.7034	45.3309	57.0956
ENSG00000099204	2334	1575	1935	1935	4560	2561	3618.4127	6155.5242	10234.7251	4074.5566	707.1623	212.2466
ENSG00000163995	33	31	29	4	2	1	135.2381	124.4946	117.1079	56.524	0.9066	4.5511
ENSG00000173210	5072	4028	4132	24	4931	1	1340.3175	2132.9572	3578.4114	2.068	19.039	13.6533
ENSG00000175164	0	0	3	1	0	0	61.5873	19.5581	16.8024	0.3447	0.9066	0
ENSG00000002726	1050	13	5	833	759	406	13.3333	5.2656	16.8024	3161.2107	2216.6818	1456.3508
ENSG00000174429	0	0	0	1363	1710	797	1.9048	1.8806	0.5092	546.2842	635.5394	481.175
ENSG00000159842	213	202	398	1229	2072	270	2407.9365	2107.3813	1561.609	638.9975	700.816	484.8986
ENSG00000146109	697	787	1006	100	1327	430	648.5714	592.0075	419.0428	59.2813	75.2493	59.578
ENSG00000114626	457	276	1000	4359	8230	9195	701.2698	895.9097	817.2098	781.6862	1330.9157	1359.5366
ENSG00000166016	693	164	483	8660	29097	13250	68.254	144.4288	97.7597	768.5892	1383.4995	988.8291
ENSG00000060971	18036	15087	30364	1935	2860	1530	1996.1905	2230.3714	1522.4033	3359.3895	3602.9012	3386.4295
ENSG00000167315	17837	19683	30615	782	6351	4445	1571.1111	2839.3042	4564.664	479.7651	272.8921	146.4626
ENSG00000278540	946	663	773	1024	4467	2747	1986.9841	2153.6436	3095.723	505.6145	479.6011	452.2135
ENSG00000076555	5090	2982	4985	649	2734	2604.97	1132.381	5794.0762	15134.9287	550.6407	86.1287	419.7642
ENSG00000111271	1841	1006	1246	586	1744	2384	546.9841	555.5242	631.3646	480.1097	780.5984	532.4783
ENSG00000240303	5795	4522	6139	1407.92	3597.39	1177	514.5873	600.2821	1608.4521	850.4491	904.1704	1034.2904
ENSG00000151498	842	639	866	4	1261	10	703.1746	602.5388	456.2118	0.6893	0	18.6181
ENSG00000177646	1440	993	1410.99	2782	8410	5406	902.5333	1193.0343	1304.4756	1260.0727	455.1224	954.9028
ENSG00000115361	899	633	1031	1318	12493	7144	33.9683	256.8876	680.2444	2135.8507	1947.4161	2169.218
ENSG00000117054	4969	8161	6301	2024	3360	5677	1023.8095	1466.8547	2004.0733	167.8488	395.2856	154.3235
ENSG00000196177	23401	25977	14598	24831.99	23063.89	23117.92	2791.746	1596.2388	1428.7169	3086.7231	5205.8024	5250.7116
ENSG00000122971	8063	5823	9293	47	47	78	824.4444	1645.8862	1576.3747	25.8494	102.4479	31.8577
ENSG00000072778	18120.95	10164	19452	1241	131	37	8942.1492	8381.6756	7975.0255	33.4319	310.0635	150.5999
ENSG00000157766	4	1	12	1007	2076	993	61.5873	7.1462	6.11	1366.2276	711.6954	742.2424
ENSG00000072818	49	32	161	1504.53	2495.16	2530.4	146.6667	189.5628	38.6965	2181.6628	1969.3019	1095.0683
ENSG00000114331	663	570	728	4809	17689	15553	899.3651	1035.449	1550.4073	2413.3011	2358.1142	698.3864
ENSG00000131584	586.05	280	778.04	2351.58	3787.63	1361.31	502.2603	584.1091	429.2261	234.5059	732.9374	727.7576
ENSG00000075239	22626	13302	19830	2028	2640	2431	1388.254	2214.1984	3866.0896	1473.4165	1472.3481	1493.1734
ENSG00000120437	4039.89	4771.89	5037.46	538	3387	656	432.9524	318.4316	337.9124	316.7415	191.2965	183.6988
ENSG00000182827	1188	1332	1100	3364	4703	3328	1048.8889	1149.4123	1124.2363	873.0208	572.9828	681.4233
ENSG00000181513	1860	1059	2385	867	575	487	361.2698	398.3075	359.9796	299.1639	916.5911	782.3748
ENSG00000107897	2272	2117	2436	5	60	13	621.9048	679.6427	1163.9511	25.8494	39.8912	23.9967
ENSG00000230124	294	238	456	1	0	1	534.6032	454.3488	368.6354	73.0677	1.8132	0.4137
ENSG00000176244	1	2	10	12	121	11	33.6508	19.9342	8.6558	452.8817	54.3971	84.8159
ENSG00000108684	4	2	3	23	88	4	8.254	3.7612	0	136.8296	42.6111	153.4961
ENSG00000110881	3	5	13	0	0	0	130.4762	68.8293	79.4297	2.4126	2.7199	2.8962
ENSG00000213199	5	0	10	0	5	1	7.9365	8.6507	10.1833	0.3447	0.9066	0
ENSG00000072182	0	0	0	1	0	0	1.9048	4.1373	0	0.6893	0	0
ENSG00000110455	226	127	356	753	710	91	608.254	450.2116	335.5397	381.5373	929.2838	260.24
ENSG00000102977	189	163	297	707	1044	184	453.6508	356.1824	206.2118	611.4248	708.9755	338.0223
ENSG00000130234	147	94	149	7	6	3	11.1111	13.5402	49.389	0.6893	0	8.2747
ENSG00000167769	0	0	7	0	0	0	0.6349	1.5045	0	5.1699	3.6265	4.1374
ENSG00000177076	49	50	26	8	25	26	96.1905	122.2379	349.2872	72.3784	59.8368	141.084
ENSG00000078124	155	151	246	204	421	44	297.7778	352.0451	976.0692	450.1244	147.7788	179.9752
ENSG00000159640	40	56	107	282	443	481	506.6667	1177.6211	1081.9756	3401.0933	407.0716	528.7547
ENSG00000087085	28	60	53	55	61	414	22.5397	49.6474	16.8024	10.6844	9.0662	11.5846
ENSG00000100813	1368	1593	2016	3437	4722	2974	3377.1429	2817.8655	2411.9145	3280.4627	4287.398	4002.4824
ENSG00000131473	1656	1266	1951	3499	5655	3134	3405.7143	3383.921	2682.7902	7481.1644	7271.0789	3232.9334
ENSG00000153086	2937	2604	3684	1001	2393	1102	26.3492	9.4029	0	193.3536	4.5331	1.2412
ENSG00000196636	195	246	309	320	682	643	176.1905	146.6855	125.2546	194.7322	89.7552	67.0252
ENSG00000122729	6702	5420	9029	2936	5616	12531	1349.8413	4737.9408	11869.6538	807.5356	737.9873	880.0165
ENSG00000100412	3574.21	2582.03	4465.63	3685.36	7106.05	17665.59	2553.8571	3772.0733	4526.8839	2344.1177	1949.4288	3210.9723
ENSG00000162390	12.1	6.26	19.02	14	17.96	0	48.8889	42.0235	8.4521	256.0298	68.903	23.1692
ENSG00000172497	2734	1583	4238	122	3093	769	0	0	0	0	0.9066	0
ENSG00000112304	2791.14	2272.48	3670.89	2587.89	2539.36	2114.83	631.0794	700.1561	945.6314	647.6932	664.9955	523.6409
ENSG00000184227	4733	1898	5062	938	5889	1410	672.6984	1592.1016	1888.4929	376.7121	592.9284	717.832
ENSG00000119673	2531	998	3153	581	2833	872	391.4286	928.2558	1412.9328	362.5811	370.8069	507.2404
ENSG00000177465	539	454	537	636	687	189	203.4921	271.9323	311.609	324.324	247.5068	438.9739
ENSG00000205669	34	30	20	6	30	15	3.1746	7.1462	26.9857	4.4806	5.4397	0.8275
ENSG00000097021	605	568	1026	1717	1197	772	461.5873	351.669	222.5051	910.5886	1055.3037	743.0699
ENSG00000101473	478.35	407.85	563	802.79	1335.62	493.7	294.5111	253.8298	183.442	320.9153	463.4089	243.4712
ENSG00000123130	343	270	510	940	1410	64	415.873	593.1359	687.8819	318.8094	559.3835	539.0981
ENSG00000161533	12585.35	9998	14752.48	5396	15546.21	11201.7	1376.7968	2953.0569	4675.5143	1284.1092	1175.1949	2398.9077
ENSG00000168306	6632	4548	6732	330	7254	3139	332.381	399.0597	637.9837	110.6355	1254.7597	75.3
ENSG00000087008	1193	767	831	687	679	1261	654.2857	780.8181	490.3259	739.6378	367.1804	629.7062
ENSG00000153093	2	0	0	6	2	0	1.2698	1.5045	3.055	5.5145	0	1.2412
ENSG00000143727	2245	1869	2437	3049	3544	3131	1268.254	1117.8185	1002.0367	748.9436	1395.2856	1584.609
ENSG00000134575	2868	1999	3791	3483	3920	7794	1187.3016	1545.4631	1126.2729	1194.5771	1000.9066	1077.7824
ENSG00000102575	1751	560	1755	4426	3923	3121	1320.9524	2271.7442	1047.8615	1256.6261	3617.4071	456.7646
ENSG00000162836	472	318	483	443	737	294	205.0794	555.9003	160.387	322.9453	180.417	339.2635
ENSG00000155893	114	147	154	151	786	257	488.254	344.8989	264.7658	488.7262	143.2457	398.4278
ENSG00000014257	1	1	0	12	3	1	36.5079	56.0414	20.8758	32.7426	52.5839	22.3417
ENSG00000111644	9	8	12	0	1	16	24.7619	33.0983	50.4073	1.034	0	2.0687
ENSG00000147174	5	3	13	26	86	8	26.9841	14.6685	24.9491	24.8154	26.2919	32.6851
ENSG00000134940	2	0	0	59	76	68	0.9524	0	0	12.7524	25.3853	16.5494
ENSG00000100312	13	6	11	3	2	1	4.4444	8.2746	7.6375	1.7233	5.4397	0
ENSG00000103740	7	4	1	0	6	1	13.3333	78.9845	18.3299	1.034	0.9066	2.8962
ENSG00000130377	0	3	0	0	14	2	7.619	5.0776	3.5642	9.9951	4.5331	6.6198
ENSG00000167107	2383	720	2578	0	3	0	1588.5714	1803.4791	1517.3116	4.1359	0	3.3099
ENSG00000176715	875	636	1149	1152	6362	1609.08	472.381	383.2628	279.5316	129.5917	137.806	1556.1523
ENSG00000151726	74260	42689	43795	778	1770	656	2680.9524	13601.8806	41042.2607	720.3369	519.4923	312.3707
ENSG00000123983	3202	2398	3761	9921	18622	30644	3615.873	5552.2332	1933.8086	1307.2909	1622.8468	2482.4162
ENSG00000068366	2633	456	626	3820	5608	2901	1052.6984	1574.8002	2809.5723	4634.6272	1857.6609	3735.2089
ENSG00000197142	3690	3207	6924	64160	8487	5555	857.7778	1032.4401	954.6843	169.5721	446.0562	548.614
ENSG00000164398	82	7	40	5334	3292	287	5.7143	5.6417	1.5275	77.5482	306.437	271.8246
ENSG00000166743	11	45	512	23	114	501	34.9206	5884.3441	0.5092	89.2666	2.7199	4.5511
ENSG00000183747	25481	14759	11504	1401	339	2209	5.3968	1.1283	5.6008	16.199	55.3037	2093.0906
ENSG00000066813	18890	11516	9990	367	13175	12358	0.9524	6.7701	1.5275	0.3447	0	0.4137
ENSG00000005187	3196.62	3023.98	3182.42	514	21661	10703	186.9556	511.7931	11.1965	0	0	0
ENSG00000215009	0	0	1	79.43	1594.18	676.14	0	0	0	3.1019	14.515	182.077
ENSG00000183549	11385	6164	5475	0	0	0	97.4603	387.4001	1359.4705	0.3447	0	0
ENSG00000154930	236	180	286	52	10994	165	1026.9841	992.9478	338.5947	7.5825	29.9184	11.1709
ENSG00000131069	5270	3348	4966	1329	708	269	1106.0317	2965.3032	6902.7495	672.4294	373.5267	604.4683
ENSG00000111058	2472	883	1333	2915	4410	1783	246.0317	527.3155	1563.6456	1143.2333	1190.3898	647.0832
ENSG00000143632	0	3	3	305	3548	4	6.6667	61.6831	1.5275	237.1253	832.2756	335.1262
ENSG00000107796	1260.84	1504.17	2506.74	9	1	3	44140.0794	16771.4227	3202.6578	2.068	7.2529	28.5478
ENSG00000169067	0	0	0	4124.54	4900.69	2701.54	1.5873	9.0268	0	3779.3563	6801.9492	13933.525
ENSG00000075624	85289	64235	115473	1	1	0	82066.6667	103656.9817	64842.668	2.068	0	0.8275
ENSG00000159251	0	1	1	116804	140756	39589	17.4603	1.1283	2.5458	41867.0858	110078.8758	98775.7551
ENSG00000184009	42819	69270	47418	0	2	8	56108.5714	60421.6267	32175.1527	7.2378	2.7199	0
ENSG00000163017	4	35	13	81732	64281	37330	8744.127	4360.3197	181.7719	53008.5269	101164.0979	177436.4915
ENSG00000136518	380	354	458	182	24	290	701.2698	615.7029	572.8106	252.6349	83.4089	2005.3786
ENSG00000148156	0	0	0	787	1748	458	0	0.3761	0	1448.601	1275.612	1170.4592
ENSG00000117148	0	0	1	0	0	0	0	1.1283	0	133.0383	0	0
ENSG00000072110	2412	3870	4028	0	0	0	10773.9683	7675.7875	5582.9939	0.6893	0	0
ENSG00000077522	5	2	25	1	0	0	0.9524	0.3761	1.5275	0.3447	0	0.8275
ENSG00000248746	2	0	1	0	0	44	2.2222	3.385	1.5275	2.068	20.8522	65.3703
ENSG00000130402	7180.92	5612	8666.81	3964	8518	4383	11032.9556	11164.9459	10318.5183	5449.056	5663.6446	9787.7534
ENSG00000131966	785	673	911	5	140	76	1279.3651	1131.3587	1080.9572	3.1019	8.1596	0
ENSG00000138107	2079	1799	2911	2	0	2	2555.5556	3693.465	3701.1202	1.3786	1.8132	2.8962
ENSG00000115073	1543	1071	1395	8467.82	16160.61	14845.87	1724.127	1599.6239	1330.4481	7890.1745	11194.4062	12244.5056
ENSG00000138071	4061	4147	5154	1707	1583	1169	3920	4545.3691	5954.6843	850.2733	572.0762	956.5577
ENSG00000133627	128	190	200	4041	2951	2757	272.381	130.5125	80.9572	2475.3397	1905.7117	3710.7985
ENSG00000106526	252	200	140	1728	2569	1931	44.127	25.5759	25.4582	1396.9022	1794.1976	1174.1829
ENSG00000115091	1666	2748	2530	6392	9379	6749	2692.6984	2759.1913	2766.8024	4257.2258	5219.4016	4937.9396
ENSG00000101442	120	87	114	263	363	316	219.6825	199.3418	131.8737	359.8238	153.2185	135.2917
ENSG00000075089	241	342	508	50	232	155	592.0635	484.4382	378.3096	21.0242	19.9456	43.4423
ENSG00000113812	403	238	306	5244	5634	2212	415.5556	404.3253	456.2118	1979.031	3279.2384	3657.4266
ENSG00000123165	0	0	0	236	555	121	0	0	0.5092	367.0616	184.9501	281.7542
ENSG00000135503	1392	2099	1338	1642	952	297	1079.3651	1012.882	982.6884	434.9594	517.6791	415.8047
ENSG00000123612	72	59	168	472	790	266	57.7778	761.26	3481.6701	384.6392	564.8232	390.1531
ENSG00000115170	841	857	587	1	0	0	1210.1587	998.2134	992.3625	0.3447	0	0
ENSG00000121989	389	456	436	2654	2847	3316	447.9365	344.5228	452.6477	1394.4896	940.1632	1240.3806
ENSG00000114739	278	866	162	51	19	101	295.5556	230.1834	314.1548	9.6504	11.786	6.206
ENSG00000139567	99	132	182	925	1366	479	940.9524	1567.654	1251.0183	465.9787	590.2085	1112.1225
ENSG00000243989	13086	6772	12201.5	537	598	271	846.3492	948.1899	558.6914	212.6545	234.8141	338.8498
ENSG00000132744	863	636	858	275	480	346	25.7143	19.9342	0	367.751	317.3164	322.7141
ENSG00000119640	13	16	36	352	529	418	88.5714	50.7757	26.9857	342.9355	618.3137	534.547
ENSG00000170634	396	316	456	4456	9889	3902.63	166.3492	220.0282	266.2933	729.2981	643.699	751.7584
ENSG00000140955	3	0	2	186	1076	141	3.473	2.2567	0	1.034	1.8132	4.1374
ENSG00000168803	139	143	206	187	120	32	217.7778	216.267	225.0509	128.2131	75.2493	112.5362
ENSG00000137845	974	802	923	325	181	304	1403.8095	1036.9535	1099.7963	132.6936	170.4442	95.1593
ENSG00000073670	1	2	5	0	1	0	19.3651	7.5223	6.11	0	0	0
ENSG00000148848	40	39	45	0	0	1	930.1587	914.3394	2175.6619	1.7233	3.6265	0.4137
ENSG00000143537	784	558	1225.18	131	738	512	2717.8444	4621.1678	2304.4807	147.8586	84.3155	134.4642
ENSG00000151694	234	232	243	1033	3261	1661	700	561.5421	578.9206	1439.9846	599.2747	1440.2151
ENSG00000135074	304	253	544	3	6	99	99.0476	227.5505	118.6354	21.7135	42.6111	8.6885
ENSG00000134007	0	1	0	51	137	27	1.9048	2.2567	0	1018.1222	2120.5802	4414.1498
ENSG00000235812	0	0	0	6490.09	6974.09	738.02	0.6349	2.6328	1.5275	6512.3181	4953.563	4029.971
ENSG00000139985	5	1	1	286	665	346	11.1111	4.1373	5.6008	401.8722	595.6482	641.2909
ENSG00000008277	2	0	2	0	1	0	30.1587	31.2177	380.8554	0.3447	0	0
ENSG00000114948	1	2	2	572	1105	283	28.8889	59.8025	45.8248	486.6583	835.9021	585.0228
ENSG00000042980	4	6	7	5	2	0	246.0317	85.7546	21.3849	1.034	2.7199	1.6549
ENSG00000168594	1	0	0	0	0	1	2.5397	0.3761	0	0.3447	0	0.8275
ENSG00000104755	0	0	0	1	1	0	0	4.5134	0	0.6893	1.8132	2.8962
ENSG00000197140	0	0	1	4	2	29	14.9206	41.3728	13.2383	37.5678	12.6927	21.5143
ENSG00000149451	5	1	15	6	64	0	828.7016	690.174	540.8401	2.7573	17.2257	55.8544
ENSG00000271968	3195.97	15133.9	14410.26	104	38	4	73280.473	73793.0606	1735.6008	57.558	85.2221	87.2983
ENSG00000151651	108	91	142	0	0	0	117.4603	225.67	92.1589	0.3447	1.8132	223.4175
ENSG00000168615	333	491	429	9	0	0	1595.2381	1838.834	2218.9409	50.3202	11.786	2.8962
ENSG00000134028	5	1	3	8	31	10	11.4286	48.519	3.055	19.3009	26.2919	244.1043
ENSG00000142303	71	35	115	0	0	0	128.5714	419.7461	382.8921	0.3447	0	0
