ID	TCGA_BC_A10Q_LIHC_NT	TCGA_BC_A10T_LIHC_NT	TCGA_BC_A10W_LIHC_NT	TCGA_2V_A95S_LIHC_TP	TCGA_2Y_A9GS_LIHC_TP	TCGA_2Y_A9GU_LIHC_TP	TCGA_A7_A0CE_BRCA_NT	TCGA_A7_A0CH_BRCA_NT	TCGA_A7_A0D9_BRCA_NT	TCGA_3C_AAAU_BRCA_TP	TCGA_3C_AALJ_BRCA_TP	TCGA_3C_AALK_BRCA_TP
ENSG00000144320	908	403	614	4	3	2	436.8254	580.724	1088.0855	7.9272	59.8368	3.3099
ENSG00000166004	89	30	124	658	1105	642	349.8413	176.8613	321.2831	517.3329	518.5857	700.4551
ENSG00000198894	962	532	681	3205	3799	2073	874.2857	765.0212	850.3055	2995.7745	3852.2212	2939.5945
ENSG00000142609	0	0	1	685.93	1105.95	370	1.2698	0	2.0367	505.3353	649.8187	708.1258
ENSG00000149633	28	33	12	690	1680	900	206.6667	181.2882	50.4073	1133.9275	2828.6491	484.8986
ENSG00000188352	264	144	214	0	0	57.82	882.2222	854.1608	854.3788	0	0	0
ENSG00000170903	157	137	159	1668	1966	754	380.3175	304.6544	465.3768	909.8993	1505.893	789.4084
ENSG00000162929	25	19	35	1268	2830	1162	149.5238	138.4109	224.0326	1087.7432	1178.6038	849.4001
ENSG00000179698	12	3	15	1609	2455	1523	14.9206	4.5134	2.5458	2692.4747	1070.7162	1505.5854
ENSG00000173214	133	101	174	1265.31	1837.31	886.61	47.619	78.9845	75.3564	1608.9191	961.777	913.8146
ENSG00000146112	1285	2658	2185	2267	5416.24	1527.1	988.8889	1324.3065	1437.8819	4305.6297	1852.5204	3091.3529
ENSG00000165185	59	51	31	500	1052	471	37.7778	17.6775	28.0041	856.1325	168.631	642.5321
ENSG00000158941	1303	1162	1476	510	635	315	2605.3968	2274.3771	1509.6741	353.2753	346.3282	242.4493
ENSG00000213213	11	4	8	621	894	718	17.7778	24.4476	4.0733	1529.2512	597.4615	782.3748
ENSG00000116685	3360	1983	3591	2987	739	275	1296.5079	1589.0926	1171.0794	1109.1121	1097.9148	899.8759
ENSG00000176542	1025	949	792	611	2195	1166	655.873	624.7297	1296.334	1346.9267	449.6827	626.3964
ENSG00000050030	3	1	3	442	2657	1993	34.2857	31.2177	35.1324	939.5399	658.2049	569.7145
